FolderName,MatchScore,ThresholdScoren
10823946_1115073551,90,75
10822713_1115050508,94,75
10822740_1115050817,94,75
10823993_1115074057,88,75
10820573_1115003751,94,75
10823137_1115055744,92,75
10823988_1115074035,63,75
10820580_1115003833,91,75
